sell,1675105851556.00,1675105854003.00,-0.08
buy,1675105876531.00,1675105879024.00,0.07
sell,1675105928003.00,1675105930060.00,-0.04
buy,1675105945144.00,1675105947518.00,0.05
sell,1675106012110.00,1675106014451.00,-0.06
buy,1675106035594.00,1675106038049.00,-0.00
sell,1675106040510.00,1675106042533.00,0.03
sell,1675106118718.00,1675106121468.00,0.00
buy,1675106172676.00,1675106175099.00,-0.02
sell,1675106200042.00,1675106203027.00,0.03
buy,1675106219643.00,1675106222127.00,0.04
sell,1675106295028.00,1675106297625.00,-0.02
buy,1675106301112.00,1675106303626.00,-0.07
sell,1675106354096.00,1675106356548.00,-0.06
buy,1675106483077.00,1675106485694.00,-0.05
sell,1675106546547.00,1675106548759.00,0.03
buy,1675106580690.00,1675106583069.00,-0.00
buy,1675106729054.00,1675106732314.00,0.02
sell,1675106825753.00,1675106827871.00,0.03
sell,1675107025292.00,1675107027916.00,0.03
buy,1675107068350.00,1675107070676.00,0.03
buy,1675107204110.00,1675107207337.00,-0.01
buy,1675107422238.00,1675107424447.00,-0.02
sell,1675107440503.00,1675107443935.00,-0.03
buy,1675107524871.00,1675107529426.00,-0.01
buy,1675107614120.00,1675107616336.00,0.03
sell,1675107754631.00,1675107756939.00,-0.01
buy,1675107806575.00,1675107808643.00,-0.02
buy,1675107830110.00,1675107832153.00,0.03
buy,1675107899871.00,1675107903179.00,0.00
sell,1675107926622.00,1675107929386.00,0.03
sell,1675108040277.00,1675108042799.00,-0.02
buy,1675108059100.00,1675108062259.00,0.01
sell,1675108181431.00,1675108184054.00,0.01
sell,1675108361019.00,1675108363055.00,-0.03
buy,1675108489298.00,1675108494401.00,-0.00
sell,1675108737931.00,1675108740103.00,0.00
buy,1675108758466.00,1675108760577.00,-0.01
sell,1675109012495.00,1675109014654.00,0.01
sell,1675109331965.00,1675109336395.00,-0.01
buy,1675109734381.00,1675109741560.00,0.00
sell,1675110067181.00,1675110069922.00,-0.00
buy,1675110164563.00,1675110166606.00,-0.05
sell,1675110194577.00,1675110196640.00,-0.06
buy,1675110213374.00,1675110215768.00,0.00
sell,1675110249778.00,1675110252892.00,0.01
buy,1675110305034.00,1675110307293.00,0.00
sell,1675110327751.00,1675110329934.00,-0.01
buy,1675110383553.00,1675110385707.00,-0.03
buy,1675110447829.00,1675110450545.00,0.06
sell,1675110503903.00,1675110507498.00,-0.00
sell,1675110577092.00,1675110579610.00,0.01
sell,1675110770290.00,1675110772360.00,-0.00
sell,1675110850014.00,1675110852751.00,-0.04
buy,1675110905003.00,1675110907083.00,0.04
sell,1675111071625.00,1675111078576.00,0.00
sell,1675111137145.00,1675111139147.00,-0.00
sell,1675111171331.00,1675111181080.00,0.01
sell,1675111185694.00,1675111194725.00,-0.00
sell,1675111287897.00,1675111290607.00,0.00
sell,1675111417934.00,1675111420462.00,0.01
buy,1675111525472.00,1675111530932.00,0.00
sell,1675111680275.00,1675111683529.00,0.01
sell,1675111848395.00,1675111850503.00,-0.01
buy,1675111858623.00,1675111860665.00,0.05
sell,1675112265403.00,1675112267552.00,0.01
buy,1675112293903.00,1675112296115.00,-0.01
sell,1675112340705.00,1675112346544.00,0.02
sell,1675112483015.00,1675112491588.00,-0.00
sell,1675113153598.00,1675113156554.00,0.04
sell,1675113255532.00,1675113260982.00,0.00
buy,1675113271099.00,1675113279532.00,-0.02
buy,1675113570209.00,1675113574598.00,0.00
buy,1675113725507.00,1675113729938.00,0.02
buy,1675113765751.00,1675113768468.00,-0.01
sell,1675113839068.00,1675113841247.00,0.01
sell,1675113949764.00,1675113969237.00,0.01
sell,1675114160650.00,1675114164179.00,-0.00
sell,1675114372881.00,1675114376304.00,-0.00
buy,1675114695082.00,1675114701746.00,-0.02
buy,1675114724600.00,1675114726751.00,-0.00
buy,1675115024962.00,1675115035344.00,-0.00
buy,1675115327118.00,1675115329708.00,-0.03
buy,1675115380474.00,1675115382900.00,0.03
sell,1675115428739.00,1675115433715.00,0.00
sell,1675115685230.00,1675115687296.00,0.01
buy,1675115791006.00,1675115797964.00,0.01
sell,1675116248489.00,1675116250528.00,-0.00
buy,1675116311369.00,1675116315004.00,0.02
buy,1675116373546.00,1675116395939.00,-0.00
sell,1675116399929.00,1675116411380.00,0.00
sell,1675116467548.00,1675116469823.00,-0.00
buy,1675116644499.00,1675116653859.00,-0.00
buy,1675116697035.00,1675116703262.00,-0.00
buy,1675117007124.00,1675117009866.00,0.01
buy,1675117134886.00,1675117137063.00,0.00
sell,1675117165721.00,1675117172246.00,-0.01
buy,1675117306754.00,1675117309747.00,-0.00
sell,1675118044504.00,1675118046552.00,-0.00
buy,1675118203199.00,1675118206666.00,0.01
buy,1675118457168.00,1675118459678.00,0.01
sell,1675118614550.00,1675118617116.00,-0.02
buy,1675118625766.00,1675118627794.00,-0.03
sell,1675118639718.00,1675118641809.00,-0.03
buy,1675118665159.00,1675118668044.00,-0.04
sell,1675118754080.00,1675118757649.00,0.02
buy,1675118792252.00,1675118795719.00,0.01
buy,1675118876520.00,1675118885595.00,-0.03
sell,1675118898290.00,1675118902942.00,-0.06
sell,1675118944247.00,1675118948981.00,0.02
sell,1675119157433.00,1675119159723.00,-0.01
sell,1675119512968.00,1675119515534.00,-0.00
buy,1675119542026.00,1675119544792.00,-0.00
sell,1675119566130.00,1675119571371.00,-0.00
buy,1675119660437.00,1675119663947.00,0.01
buy,1675119692646.00,1675119694964.00,0.01
sell,1675119813592.00,1675119816245.00,0.05
buy,1675119867674.00,1675119875082.00,0.01
sell,1675119980344.00,1675119985180.00,0.00
sell,1675120156120.00,1675120158323.00,0.00
sell,1675120233288.00,1675120237057.00,0.01
sell,1675120351880.00,1675120360109.00,-0.00
buy,1675120496311.00,1675120505173.00,-0.00
buy,1675120599466.00,1675120604068.00,0.00
sell,1675120639141.00,1675120641288.00,-0.01
buy,1675120660522.00,1675120662956.00,-0.01
sell,1675120771681.00,1675120774524.00,-0.02
sell,1675120924092.00,1675120927399.00,0.01
buy,1675120942765.00,1675120946481.00,-0.01
sell,1675121316162.00,1675121326498.00,-0.01
sell,1675121372997.00,1675121387710.00,0.00
buy,1675121401883.00,1675121404146.00,0.01
sell,1675121432297.00,1675121434828.00,0.01
buy,1675121501144.00,1675121503203.00,0.00
sell,1675121554040.00,1675121556236.00,-0.01
sell,1675121711407.00,1675121713408.00,0.00
sell,1675121755867.00,1675121758161.00,-0.02
buy,1675121812860.00,1675121818983.00,0.00
sell,1675121948247.00,1675121951708.00,-0.00
sell,1675122587549.00,1675122593132.00,0.01
sell,1675122741915.00,1675122745710.00,-0.01
buy,1675122814607.00,1675122818396.00,-0.00
sell,1675122820758.00,1675122823377.00,0.01
sell,1675122941638.00,1675122944872.00,-0.00
buy,1675123090612.00,1675123092790.00,-0.00
